ID,Loại,SKU,"GTIN, UPC, EAN hoặc ISBN",Tên,"Đã xuất bản","Là sản phẩm nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giá khuyến mãi","Ngày kết thúc giá khuyến mãi","Trạng thái thuế","Lớp thuế","Còn hàng?","Tồn kho","Số lượng sắp hết hàng","Cho phép đặt hàng trước?","Bán riêng lẻ?","Cân nặng (kg)","Chiều dài (cm)","Chiều rộng (cm)","Chiều cao (cm)","Cho phép khách hàng đánh giá?","Ghi chú mua hàng","Giá khuyến mãi","Giá thông thường","Danh mục",Thẻ,"Lớp vận chuyển","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải xuống",Cha,"Sản phẩm theo nhóm","Bán thêm","Bán chéo","URL bên ngoài","Văn bản nút","Vị trí","Thương hiệu","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính chung 1","Tên thuộc tính 2","Giá trị thuộc tính 2","Thuộc tính hiển thị 2","Thuộc tính chung 2","Tên thuộc tính 3","Giá trị thuộc tính 3","Thuộc tính hiển thị 3","Thuộc tính chung 3","Tên thuộc tính 4","Giá trị thuộc tính 4","Thuộc tính hiển thị 4","Thuộc tính chung 4","Tên thuộc tính 5","Giá trị thuộc tính 5","Thuộc tính hiển thị 5","Thuộc tính chung 5","Tên thuộc tính 6","Giá trị thuộc tính 6","Thuộc tính hiển thị 6","Thuộc tính chung 6","Tên thuộc tính 7","Giá trị thuộc tính 7","Thuộc tính hiển thị 7","Thuộc tính chung 7","Tên thuộc tính 8","Giá trị thuộc tính 8","Thuộc tính hiển thị 8","Thuộc tính chung 8","Tên thuộc tính 9","Giá trị thuộc tính 9","Thuộc tính hiển thị 9","Thuộc tính chung 9"
174,variable,,,"Apple iPhone 15",1,0,visible,"iPhone 15 sở hữu Dynamic Island, camera Chính 48MP và USB-C trong thiết kế bằng kính pha màu và nhôm bền bỉ.","<h3><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Tính năng nổi bật</span></h3>
\n<ul>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">DYNAMIC ISLAND RA MẮT TRÊN IPHONE 15 — Dynamic Island hiển thị linh động các cảnh báo và Hoạt Động Trực Tiếp, nhờ đó bạn sẽ không bỏ lỡ thông tin khi đang làm việc khác. Bạn có thể xem ai đang gọi đến, kiểm tra tình hình chuyến bay của bạn và hơn thế nữa.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">THIẾT KẾ SÁNG TẠO — iPhone 15 sở hữu thiết kế bằng kính pha màu và nhôm bền bỉ. Và có khả năng chống tia nước, chống nước và chống bụi.<sup>1</sup> Mặt trước Ceramic Shield bền chắc hơn mọi mặt kính điện thoại thông minh. Và màn hình Super Retina XDR 6,1""<sup>2</sup> sáng gấp đôi dưới ánh mặt trời so với iPhone 14.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">CAMERA CHÍNH 48MP VỚI TELEPHOTO 2X — Camera Chính 48MP chụp ảnh với độ phân giải siêu cao. Vậy nên bạn có thể chụp được những bức ảnh nổi bật có độ chi tiết ấn tượng dễ dàng hơn bao giờ hết. Camera Telephoto với độ thu phóng quang học 2x giúp bạn bố cục ảnh chụp cận cảnh hoàn hảo.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">ẢNH CHÂN DUNG THẾ HỆ MỚI — Chụp ảnh chân dung với nhiều chi tiết và màu sắc hơn đáng kể. Chỉ cần chạm để chuyển tiêu điểm giữa các chủ thể, ngay cả sau khi chụp.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">CHIP A16 BIONIC MẠNH MẼ — Chip siêu nhanh hỗ trợ các tính năng tiên tiến như chụp ảnh điện toán, hiệu ứng chuyển tiếp mượt mà cho Dynamic Island và chế độ Tách Giọng Nói trong cuộc gọi thoại. Và A16 Bionic cực kỳ tiết kiệm pin để mang đến thời lượng pin dùng cả ngày tuyệt vời.<sup>3</sup></span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">KẾT NỐI USB-C — Cổng kết nối USB-C cho phép bạn sạc máy Mac hoặc iPad bằng cùng cáp sạc với iPhone 15. Bạn còn có thể dùng iPhone 15 để sạc Apple Watch hoặc AirPods.</span></li>
\n</ul>
\n<span style=""font-family: tahoma, arial, helvetica, sans-serif;"">CÁC TÍNH NĂNG AN TOÀN QUAN TRỌNG — Với tính năng Phát Hiện Va Chạm, iPhone có thể phát hiện va chạm ô tô nghiêm trọng và gọi trợ giúp khi cần kíp.<sup>4</sup></span>
\n<ul>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">ĐƯỢC THIẾT KẾ ĐỂ TẠO NÊN KHÁC BIỆT — iPhone trang bị các biện pháp bảo vệ quyền riêng tư, cho bạn quyền kiểm soát dữ liệu của mình. iPhone được làm từ nhiều vật liệu tái chế hơn để giảm thiểu tác động tới môi trường. Và được tích hợp những tính năng giúp iPhone dễ sử dụng hơn cho tất cả mọi người.</span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">ĐI KÈM VỚI BẢO HÀNH APPLECARE — Mỗi iPhone đều được bảo hành giới hạn trong một năm và hỗ trợ kỹ thuật miễn phí trong tối đa 90 ngày. Mua AppleCare+ để kéo dài thời hạn bảo hành.</span></li>
\n</ul>
\n<h3></h3>
\n<h3><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Pháp lý</span></h3>
\n<ul>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">iPhone 15, iPhone 15 Plus, iPhone 15 Pro và iPhone 15 Pro Max có khả năng chống tia nước, chống nước và chống bụi. Sản phẩm đã qua kiểm nghiệm trong điều kiện phòng thí nghiệm có kiểm soát đạt mức IP68 theo tiêu chuẩn IEC 60529 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút). Khả năng chống tia nước, chống nước và chống bụi không phải là các điều kiện vĩnh viễn. Khả năng này có thể giảm do hao mòn thông thường. Không sạc pin khi iPhone đang bị ướt. Vui lòng tham khảo hướng dẫn sử dụng để biết cách lau sạch và làm khô máy. Không bảo hành sản phẩm bị hỏng do thấm chất lỏng. </span></li>
\n 	<li><span style=""font-family: tahoma, arial, helvetica, sans-serif;"">Màn hình có các góc bo tròn. Khi tính theo hình chữ nhật chuẩn, kích thước màn hình theo đường chéo là 6,12 inch (iPhone 15 Pro, iPhone 15) hoặc 6,69 inch (iPhone 15 Pro Max, iPhone 15 Plus). Diện tích hiển thị thực tế nhỏ hơn.</span></li>
